DRS_ID,INSTITUTION_ID,SOURCE_ID,EXPERIMENT_ID,DOI,DOI code,Data Reference,License,License Uri
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical,BCC,BCC-CSM2-MR,historical,https://doi.org/10.22033/ESGF/CMIP6.2948,2948,"Wu, Tongwen; Chu, Min; Dong, Min; Fang, Yongjie; Jie, Weihua; Li, Jianglong; Li, Weiping; Liu, Qianxia; Shi, Xueli; Xin, Xiaoge; Yan, Jinghui; Zhang, Fang; Zhang, Jie; Zhang, Li; Zhang, Yanwu (2018). BCC BCC-CSM2MR model output prepared for CMIP6 CMIP historical. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.2948 .",CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126,BCC,BCC-CSM2-MR,ssp126,https://doi.org/10.22033/ESGF/CMIP6.3028,3028,"Xin, Xiaoge; Wu, Tongwen; Shi, Xueli; Zhang, Fang; Li, Jianglong; Chu, Min; Liu, Qianxia; Yan, Jinghui; Ma, Qiang; Wei, Min (2019). BCC BCC-CSM2MR model output prepared for CMIP6 ScenarioMIP ssp126. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.3028 .",CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp585,BCC,BCC-CSM2-MR,ssp585,https://doi.org/10.22033/ESGF/CMIP6.3050,3050,"Xin, Xiaoge; Wu, Tongwen; Shi, Xueli; Zhang, Fang; Li, Jianglong; Chu, Min; Liu, Qianxia; Yan, Jinghui; Ma, Qiang; Wei, Min (2019). BCC BCC-CSM2MR model output prepared for CMIP6 ScenarioMIP ssp585. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.3050 .",CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
CMIP6.CMIP.CCCma.CanESM5.historical,CCCma,CanESM5,historical,https://doi.org/10.22033/ESGF/CMIP6.3610,3610,"Swart, Neil Cameron; Cole, Jason N.S.; Kharin, Viatcheslav  V.; Lazare, Mike; Scinocca, John F.; Gillett, Nathan  P.; Anstey, James; Arora, Vivek; Christian, James  R.; Jiao, Yanjun; Lee, Warren  G.; Majaess, Fouad; Saenko, Oleg  A.; Seiler, Christian; Seinen, Clint; Shao, Andrew; Solheim, Larry; von Salzen, Knut; Yang, Duo; Winter, Barbara; Sigmond, Michael (2019). CCCma CanESM5 model output prepared for CMIP6 CMIP historical. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.3610 .",CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126,CCCma,CanESM5,ssp126,https://doi.org/10.22033/ESGF/CMIP6.3683,3683,"Swart, Neil Cameron; Cole, Jason N.S.; Kharin, Viatcheslav  V.; Lazare, Mike; Scinocca, John F.; Gillett, Nathan  P.; Anstey, James; Arora, Vivek; Christian, James  R.; Jiao, Yanjun; Lee, Warren  G.; Majaess, Fouad; Saenko, Oleg  A.; Seiler, Christian; Seinen, Clint; Shao, Andrew; Solheim, Larry; von Salzen, Knut; Yang, Duo; Winter, Barbara; Sigmond, Michael (2019). CCCma CanESM5 model output prepared for CMIP6 ScenarioMIP ssp126. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.3683 .",CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585,CCCma,CanESM5,ssp585,https://doi.org/10.22033/ESGF/CMIP6.3696,3696,"Swart, Neil Cameron; Cole, Jason N.S.; Kharin, Viatcheslav  V.; Lazare, Mike; Scinocca, John F.; Gillett, Nathan  P.; Anstey, James; Arora, Vivek; Christian, James  R.; Jiao, Yanjun; Lee, Warren  G.; Majaess, Fouad; Saenko, Oleg  A.; Seiler, Christian; Seinen, Clint; Shao, Andrew; Solheim, Larry; von Salzen, Knut; Yang, Duo; Winter, Barbara; Sigmond, Michael (2019). CCCma CanESM5 model output prepared for CMIP6 ScenarioMIP ssp585. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.3696 .",CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical,CNRM-CERFACS,CNRM-CM6-1,historical,https://doi.org/10.22033/ESGF/CMIP6.4066,4066,"Voldoire, Aurore (2018). CMIP6 simulations of the CNRM-CERFACS based on CNRM-CM6-1 model for CMIP experiment historical. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.4066 .",CC BY-NC-SA 4.0,http://creativecommons.org/licenses/by-nc-sa/4.0/
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp126,CNRM-CERFACS,CNRM-CM6-1,ssp126,https://doi.org/10.22033/ESGF/CMIP6.4184,4184,"Voldoire, Aurore (2019). CNRM-CERFACS CNRM-CM6-1 model output prepared for CMIP6 ScenarioMIP ssp126. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.4184 .",CC BY-NC-SA 4.0,http://creativecommons.org/licenses/by-nc-sa/4.0/
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp585,CNRM-CERFACS,CNRM-CM6-1,ssp585,https://doi.org/10.22033/ESGF/CMIP6.4224,4224,"Voldoire, Aurore (2019). CNRM-CERFACS CNRM-CM6-1 model output prepared for CMIP6 ScenarioMIP ssp585. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.4224 .",CC BY-NC-SA 4.0,http://creativecommons.org/licenses/by-nc-sa/4.0/
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1-HR.historical,CNRM-CERFACS,CNRM-CM6-1-HR,historical,https://doi.org/10.22033/ESGF/CMIP6.4067,4067,"Voldoire, Aurore (2019). CNRM-CERFACS CNRM-CM6-1-HR model output prepared for CMIP6 CMIP historical. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.4067 .",CC BY-NC-SA 4.0,http://creativecommons.org/licenses/by-nc-sa/4.0/
